batch	rows	sourced	misattributed	unverified	unsearched
batch_0001	170	125	17	28	0
batch_0002	170	98	12	60	0
batch_0003	170	101	2	67	0
batch_0004	170	100	22	48	0
batch_0005	170	97	9	64	0
batch_0006	170	93	6	71	0
batch_0007	170	123	14	33	0
batch_0008	170	89	30	51	0
batch_0009	170	129	3	38	0
batch_0010	170	110	8	52	0
batch_0011	170	96	16	58	0
batch_0012	170	113	12	45	0
batch_0013	170	102	9	59	0
batch_0014	170	105	12	53	0
batch_0015	170	117	1	52	0
batch_0016	170	84	6	80	0
batch_0017	170	109	11	50	0
batch_0018	170	107	7	56	0
batch_0019	170	85	8	77	0
batch_0020	170	104	6	60	0
batch_0021	170	84	8	78	0
batch_0022	170	90	6	74	0
batch_0023	170	76	9	85	0
batch_0024	170	85	14	71	0
batch_0025	170	75	9	86	0
batch_0026	170	104	7	59	0
batch_0027	170	56	2	112	0
batch_0028	170	23	1	146	0
batch_0029	170	33	0	134	3
batch_0030	170	81	8	81	0
batch_0031	170	65	1	104	0
batch_0032	170	44	3	123	0
batch_0033	170	65	2	103	0
batch_0034	170	28	2	140	0
batch_0035	170	19	6	145	0
batch_0036	170	76	1	93	0
batch_0037	170	51	3	116	0
batch_0038	170	67	0	103	0
batch_0039	170	13	0	157	0
batch_0040	170	43	1	126	0
batch_0041	170	26	0	144	0
batch_0042	170	56	23	91	0
batch_0043	170	34	2	134	0
batch_0044	170	73	1	96	0
batch_0045	170	43	3	124	0
batch_0046	170	56	0	114	0
batch_0047	170	21	1	148	0
batch_0048	170	61	1	108	0
batch_0049	170	39	1	130	0
batch_0050	170	69	3	98	0
batch_0051	98	25	2	71	0
batch_0051b	72	26	0	46	0
batch_0052	170	73	0	97	0
batch_0053	170	27	0	143	0
batch_0054	170	39	1	130	0
batch_0055	170	79	4	87	0
batch_0056	170	64	3	103	0
batch_0057	170	78	7	85	0
batch_0058	170	45	1	124	0
batch_0059	170	28	0	142	0
batch_0060	170	14	0	156	0
batch_0061	170	56	1	113	0
batch_0062	170	64	3	103	0
batch_0063	170	36	0	134	0
batch_0064	170	58	3	109	0
batch_0065	170	74	1	95	0
batch_0066	170	62	1	107	0
batch_0067	170	30	0	140	0
batch_0068	170	42	0	128	0
batch_0069	170	44	0	126	0
batch_0070	170	72	2	96	0
batch_0071	170	82	3	85	0
batch_0072	170	50	3	117	0
batch_0073	170	42	0	128	0
TOTAL	12410	4953	364	7090	3
